cluster_id,size,top_tags,sample_names,avg_name_length
79,32,[],"['volmex on polygon (wip)', 'fork of (#7966) uniswap usd volume', 'fork of (#959) uniswap usd collected fees (60 days) 🧮']",41.5
80,23,"['makerdao', 'maker tvl']","['collateral used in nuo', 'compound v2 usd value of collateral', 'collateral usd value per day']",46.608695652173914
81,31,['balancer'],"['fork of (#8053) mesa trades (last 60 days)', 'fork of (#2355) balancer: unique daily active lps', 'fork of (#10043) uni trading volume over time by pair']",51.41935483870968
82,15,[],"['fork of (#4319) dex by volume 🏦', 'fork of (#4319) dex by volume 🏦', 'fork of (#4319) dex by volume 🏦']",31.866666666666667
83,28,[],"['fork of (#8246) dex trailing 24 hours growth 📈', 'fork of (#8998) dark forest unique dex trades', 'fork of (#4234) dex 24 hours volume']",38.42857142857143
84,19,"['0x', 'prod']","['0x daily volumes', 'sushi top shot 1st', 'sushi top shot 1st simple']",26.0
85,65,"['bloom', 'identity', 'dxdao', 'gnosis', 'dao']","['bloom - unique addresses attested', 'wip - dxdao reputation token', 'addresses that got reputation']",30.369230769230768
86,57,"['xdollar', 'xdo']","['percentage diamonds hands', 'increase in the number of $dfyn holders on ethereum', 'net million token holders by day']",22.719298245614034
87,24,"['dai', 'makerdao', 'stablecoin', 'retention', 'mint']","['dai sending weekly retention', 'copy of (#459) unique senders of dai', 'copy of (#452) dai sending daily retention']",44.5
88,30,[],"['zrx staked per hour vs. zrx price', 'cumulative zrx staked', 'zrx staked - distinct users']",30.633333333333333
89,70,"['compound', 'compound liquidation', 'defi', 'perp']","['calvin - master liquidations data', '1. list of unique liquidators, and associated metrics', 'copy of (#618) calvin - master liquidations data']",38.32857142857143
90,47,"['dai', 'maker', 'market cap', 'dai outstanding', 'makerdao']","['sai supply', 'dai bought on uniswap last 24 hours', 'dai bought on uniswap per hour']",42.95744680851064
91,35,"['dai', 'makerdao', 'defi', 'sai', 'maker']","['dai_liquidity', 'dai_running_liquidity_miguel_v2', 'total number of dai senders']",18.714285714285715
92,31,['mkr'],"['copy of (#587) mkr balances', 'dschief locked mkr', 'copy of (#587) mkr balances']",29.806451612903224
93,45,"['dharma', 'defi', 'aave']","['dharma debtorders', 'total outstanding debt compound v1', 'compound net supply per day']",28.755555555555556
94,18,[],"['1inch total volume', '1inch total swaps', '1inch 24h volume']",23.27777777777778
95,49,['volume'],"['0x weekly volume (usd equiv.) - wip', '1inch usd volume per period', '1inch distribution per period']",26.224489795918366
96,27,[],"['compound originations per day', 'fork of (#1938) compound unique borrowers per day', 'fork of (#1905) compound net supply per day']",45.888888888888886
97,19,[],"['fulcrum eth net borrows', '[updated] fulcrum usdc net borrows', 'fulcrum eth utilization']",41.8421052631579
98,30,[],"['new query', 'new query', 'ml - dai']",15.066666666666666
99,29,[],"['calvin - utility tables', 'calvin - worksheet', 'borrower positions by minute']",29.724137931034484
100,54,"['compound', 'lending', 'defi', 'get started', 'dao']","['unique weekly borrowers and lenders on compound', 'example: compound weekly borrowers', 'compound v1 usd borrow volume per token']",37.68518518518518
101,16,[],"['copy of (#3) check this out 3 - uniswap usd volume 🦄', 'copy of (#3) example: uniswap usd volume 🦄', 'copy of (#3) example: uniswap usd volume 🦄']",42.0
102,28,"['bancor', 'defi', 'dex']","['dutch x - number of traders last week', '0x - number of traders last week', 'dutch x - number of trades last week']",27.75
103,28,"['uniswap', 'defi', 'dex', 'trading', '1inch']","['example: uniswap usd volume 🦄', 'uniswap daily volume - dai', 'uniswap daily volume - mkr']",31.321428571428573
104,57,"['dex', 'kyber', 'defi', 'idex', 'volume']","['dharma volume', 'copy of (#234) uniswap total historical usd volume', 'copy of (#292) copy of (#234) uniswap total historical usd volume']",34.24561403508772
